SampleID,PointID,Depth,pH,PotteryQuantity,PotteryWeight,CoarseSand,FineSand,Clay,C,P,K,Na,Fe,Zn,Mn,Cu,Ca,Mg,Al,x,y,C14Age
2361,43,30,5.1,4,0.03,321,184,373.5,9.02,116,10,1,35,2.81,7.92,0.89,1.25,0.2,0.57,808167.741,9640007.549,
2362,43,50,5.1,0,0,277,136,474.5,5.75,104,10,1,33,1.59,4.05,0.82,0.96,0.22,0.49,808167.741,9640007.549,
2363,43,70,5.1,1,0.05,229,126,536,2.53,107,7,1,30,1.06,2.91,0.67,0.78,0.23,0.43,808167.741,9640007.549,
2364,43,90,5,0,0,204,111,570.5,1.3,115,6,1,33,0.87,1.95,0.54,0.64,0.18,0.43,808167.741,9640007.549,
2365,44,10,4.6,8,0.19,372,209,299.5,14.26,113,12,1,41,4.87,14.59,0.72,0.61,0.17,1.38,808081.284,9639883.612,
2366,44,30,4.7,22,0.42,292,162,445.5,6.74,121,6,1,40,2.52,5.97,0.82,0.57,0.16,1.03,808081.284,9639883.612,
2367,44,50,4.7,0,0,289,135,484.5,6.96,124,4,1,48,1.65,3.76,1.04,0.52,0.13,1.11,808081.284,9639883.612,
2368,44,70,4.9,32,1.59,254,149,507.5,5.63,157,7,1,40,1.84,4.45,1.71,0.56,0.13,0.95,808081.284,9639883.612,
2369,44,90,4.8,0,0,312,138,460,11.15,296,6,2,36,2.65,5.4,2.11,0.57,0.11,1.16,808081.284,9639883.612,
2370,45,10,4.8,3,0.05,306,193,360.5,20.91,70,34,1,25,6.51,41.39,0.75,2.14,0.45,0.44,808071.898,9639870.903,
2371,45,30,4.9,0,0,235,133,542,5.71,54,7,1,24,2.45,7.25,0.86,0.99,0.35,0.51,808071.898,9639870.903,
2372,45,50,5,0,0,202,113,605,4.41,67,6,2,20,1.42,3.73,0.76,0.96,0.29,0.29,808071.898,9639870.903,
2373,45,70,5,0,0,193,108,610.5,2.19,100,4,1,22,0.98,2.09,0.67,0.93,0.15,0.19,808071.898,9639870.903,
2374,45,90,5.2,0,0,193,107,598.5,2.01,112,2,1,20,0.82,1.28,0.61,0.96,0.11,0.1,808071.898,9639870.903,
2375,46,10,5.9,10,0.6,417,219,233,19.79,94,53,2,49,8.33,63.92,0.63,3.93,0.96,0,808104.402,9639831.799,
2376,46,30,5.6,9,0.28,338,186,397,9.3,108,25,1,33,3.53,7.58,0.78,1.54,0.5,0,808104.402,9639831.799,
2377,46,50,5.4,4,0.08,315,132,461.5,7.38,112,18,1,35,3.03,5.64,1.06,1.15,0.45,0.35,808104.402,9639831.799,
2378,46,70,5.3,0,0,231,119,561.5,3.59,107,14,1,30,2.65,5.12,0.88,1,0.37,0.26,808104.402,9639831.799,
2379,46,90,5.2,0,0,195,101,604,1.14,123,8,1,23,1.69,1.51,0.5,0.84,0.26,0.17,808104.402,9639831.799,
2380,47,10,5.6,13,0.29,453,207,223,17.72,86,19,2,68,11.54,38.33,1.01,2.94,0.71,0,808119.529,9639853.788,
2381,47,30,5.6,10,0.27,397,203,308,9.24,120,8,1,34,5.28,14.63,1.07,1.94,0.31,0,808119.529,9639853.788,
2382,47,50,5.3,2,0.63,346,165,419,5.13,114,8,2,26,3.11,6.78,1.1,1.31,0.33,0.2,808119.529,9639853.788,
2383,47,70,5.4,0,0,253,124,537.5,2.75,105,2,1,25,1.91,2.06,0.7,0.92,0.41,0.12,808119.529,9639853.788,
2384,47,90,5.2,0,0,218,109,571,0.42,103,2,1,22,1.19,0.87,0.48,0.7,0.4,0.14,808119.529,9639853.788,
2385,48,10,5.3,6,0.1,288,175,413.5,8.58,114,40,1,158,14.68,23.13,1.49,1.72,0.57,0.03,808140.724,9639882.401,
2386,48,30,5.1,0,0,242,126,568.5,0.36,105,15,1,73,9.29,7.41,1.1,1.04,0.37,0.23,808140.724,9639882.401,
2387,48,50,5,0,0,206,114,589.5,1.08,132,12,2,34,6.82,3.28,0.76,0.9,0.28,0.2,808140.724,9639882.401,
2388,48,70,5,0,0,191,111,608.5,0.12,142,5,2,30,4.52,1.84,0.55,0.87,0.22,0.12,808140.724,9639882.401,
2389,48,90,5.2,0,0,208,106,627,1.16,162,6,2,26,3.14,1.8,0.54,0.95,0.25,0.08,808140.724,9639882.401,
2390,49,10,5.9,0,0,313,182,360.5,9.12,213,24,2,34,13.66,20.71,1.53,3.68,0.79,0,808151.154,9639807.053,
2391,49,30,5.7,0,0,274,146,485.5,3.91,165,9,2,27,6.05,8.15,1.25,2.07,0.58,0,808151.154,9639807.053,
2392,49,50,5.5,0,0,229,128,562.5,1.92,135,5,1,24,2.41,1.9,0.63,1.17,0.49,0.05,808151.154,9639807.053,
2393,49,70,5.3,0,0,240,111,589.5,1.3,137,5,1,26,2.09,2.12,0.47,1.05,0.52,0.07,808151.154,9639807.053,
2394,49,90,5.3,0,0,205,123,576.5,0.14,148,6,1,24,2.4,2.25,0.46,1.1,0.52,0.06,808151.154,9639807.053,
2395,50,10,5.3,16,0.31,418,215,232.5,19.85,74,23,2,41,14.12,23.66,1,2.87,0.58,0.18,808159.371,9639821.742,
2396,50,30,5.7,7,0.55,393,235,258,14.66,99,10,2,20,9.88,14.09,1.02,3,0.27,0,808159.371,9639821.742,600 ± 30
2397,50,50,5.7,0,0,318,169,416.5,4.97,80,3,1,28,2.82,4.2,0.72,1.53,0.23,0,808159.371,9639821.742,
2398,50,70,5.7,0,0,270,144,507.5,3.63,88,3,1,24,1.39,2.1,0.61,1.28,0.21,0,808159.371,9639821.742,
2399,50,90,5.7,0,0,251,137,513,1.34,101,2,1,24,0.94,1.64,0.43,1.21,0.2,0,808159.371,9639821.742,
2400,M-36-40X,10,4.5,15,0.49,323,193,307.5,16.54,97,27,1,57,2.74,27.21,0.7,0.81,0.25,1.23,808181.012,9639856.429,
2401,M-36-40X,30,4.7,21,0.53,329,259,407,11.85,84,8,1,38,3.01,11.02,0.62,0.61,0.1,1.47,808181.012,9639856.429,
2402,M-36-40X,50,4.8,6,0.16,137,114,506.5,6.94,84,7,1,36,1.8,5.02,0.59,0.69,0.09,1.09,808181.012,9639856.429,
2403,M-36-40X,70,5,6,0.12,217,114,573.5,5.11,91,4,1,34,0.89,3.31,0.46,0.9,0.07,0.48,808181.012,9639856.429,
2404,M-36-40X,90,5.2,0,0,194,112,620.5,2.27,92,6,1,32,0.69,2.95,0.4,1.08,0.09,0.23,808181.012,9639856.429,
2405,M-35-38-5,10,5.5,21,0.37,391,235,264,27.41,125,32,3,47,14.27,49.13,0.16,4.45,1.1,0,808026.006,9640239.48,
2406,M-35-38-5,30,5.5,0,0,326,195,400,14.3,271,10,2,44,6.64,9.99,2.57,2.21,0.42,0.48,808026.006,9640239.48,
2407,M-35-38-5,50,5.5,0,0,264,142,494.5,13.53,289,8,2,60,7.07,7.46,3.2,2.3,0.31,0.49,808026.006,9640239.48,
2408,M-35-38-5,70,5.5,0,0,211,107,575,9.4,205,5,1,57,4.76,5.89,2.47,1.82,0.25,0.34,808026.006,9640239.48,
2409,M-35-38-5,90,4.9,0,0,194,107,643,3.01,55,2,1,25,0.41,1.23,0.28,0.46,0.04,0.67,808026.006,9640239.48,
2410,M-39-X,10,5.6,17,0.17,396,215,270,17.86,76,17,3,64,4.59,24.97,0.85,2.63,0.36,0,808103.69,9639918.502,
2411,M-39-X,30,5.4,6,0.15,362,193,345.5,13.63,106,10,2,39,3.44,13.83,0.87,1.57,0.27,0.44,808103.69,9639918.502,
2412,M-39-X,50,5.3,0,0,290,142,481,7.78,97,7,2,33,2.14,5.16,0.78,1.05,0.25,0.48,808103.69,9639918.502,
2413,M-39-X,70,5.2,0,0,259,118,534.5,4.53,95,5,2,31,1.44,3.9,0.71,0.91,0.23,0.43,808103.69,9639918.502,
2414,M-39-X,90,5.2,0,0,206,112,610.5,3.21,89,3,2,31,1.13,2.34,0.48,0.84,0.19,0.34,808103.69,9639918.502,
2415,MX,10,4.9,2,0.05,319,185,362.5,15.44,44,19,2,35,1.48,17.95,0.6,0.81,0.47,0.81,808042.028,9639911.956,
2416,MX,30,5,0,0,275,153,470.5,7.24,52,4,1,30,0.58,4.48,0.43,0.63,0.08,0.82,808042.028,9639911.956,
2417,MX,50,5,0,0,216,131,528.5,4.91,50,2,1,37,0.71,2.71,0.34,0.61,0.06,0.66,808042.028,9639911.956,
2418,MX,70,4.9,0,0,242,125,572,3.29,52,2,1,31,0.45,2.06,0.28,0.53,0.05,0.7,808042.028,9639911.956,
2419,MX,90,5.4,0,0,194,106,623.5,4.13,161,5,1,31,2.63,3.77,1.36,1.32,0.17,0.14,808042.028,9639911.956,
